商品名称,价格,图片链接,销量,地址,店铺名称
【政府补贴至高15%】Redmi Note 14 Pro手机红米note小米小米官方旗舰店官网新品小米note14pro,1269..02,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/1714128138/O1CN01N5Gadn29zGDJ2ae1h-1714128138.png_580x580q90.jpg_.webp,10万+人付款,,小米官方旗舰店
新品上市OPPO一加Ace5Pro学生游戏手机骁龙8至尊版旗舰芯片AI手机,3537..00,未知,1万+人付款,广东 ,一加官方旗舰店
【华为大额券】HUAWEI Pura 70 超高速风驰闪拍第二代昆仑玻璃双超级快充华为官方旗舰店华为学生可优惠,4295..00,未知,未知,广东 深圳,华为官方旗舰店
【政府补贴15%】HONOR/荣耀X60i 5G智能手机直屏防水抗跌高品质高亮OLED护眼大屏官方旗舰店官网X50i学生,1145..00,未知,1万+人付款,广东 ,荣耀官方旗舰店
【政府补贴15%】HONOR/荣耀X60 5G智能十面抗摔防水耐磨5800mAh大电池轻薄直屏一亿像素AI影像官方旗舰店,1145..00,未知,5万+人付款,广东 ,荣耀官方旗舰店
同城闪送Apple/苹果 iPhone 16 Pro 6.3英寸国行5G手机,7321..00,未知,100+人付款,上海,瑞松锦泰数码专营店
Apple/苹果 iPhone 16 Pro Max,9995..00,未知,未知,上海,Apple Store 官方旗舰店
【国补立省15%】vivo iQOO Z9x大电池长续航iQOO官方旗舰店官网正品送礼学生机老年机国家补贴,955..42,未知,3000+人付款,广东 ,iQOO手机官方旗舰店
Apple/苹果 iPhone 16 Pro,7995..00,未知,未知,上海,Apple Store 官方旗舰店
【国家补贴至高立省15%】vivo S20智能5G柔光人像拍照轻薄长续航大电池学生直屏官方旗舰店正品,2095..00,未知,未知,广东 东莞,vivo手机官方旗舰店
顺丰正常发货Apple/苹果 iPhone 16 Pro Max 24期免息,9994..00,未知,1000+人付款, ,圳号旗舰店
OPPO K12 100W超级闪充新款电竞游戏AI学生备用老人智能政府补贴oppo官方旗舰店官网正品oppo k12,1695..00,未知,3万+人付款,广东 ,OPPO官方旗舰店
【政府补贴至高15%】Redmi Note 14 5G手机红米note小米小米官方旗舰店官网新品小米note14,1022..02,未知,3万+人付款,北京,小米官方旗舰店
【政府补贴至高15%】Redmi 13C 5G手机智能官方旗舰店红米小米13c大音学生老年备用老人百元专用,935..01,未知,10万+人付款,北京,小米官方旗舰店
新品上市OPPO A5 Pro 5G 满级防水2.0 耐严苛环境 信号穿墙王 正品学,1737..00,未知,4000+人付款, ,OPPO官方旗舰店
OPPO K12 Plus 游戏学生备用机骁龙5g新款手机超耐久大电池OPPO官方旗舰店官网正品政府补贴oppoAI智能,1395..00,未知,9000+人付款, ,OPPO官方旗舰店
Apple/苹果 iPhone 16,5995..00,未知,未知,上海,Apple Store 官方旗舰店
【官方直营旗舰店】2025新品5G全网通正品智能游戏大内存安卓便宜价512G学生4G大屏百元老年人拍照备用机,364..00,未知,100+人付款,浙江 ,好货严选工厂
【政府补贴至高15%】Redmi Note 13 5G手机1亿像素红米note小米小米官方旗舰店官网新品note13,873..02,未知,10万+人付款,北京,小米官方旗舰店
春节正常发 分期免息 HUAWEI/华为P60 Pro 12+512G 新款60 Plus智能手,1464..00,未知,600+人付款, ,艾恒心数码专营店
【政府补贴至高15%】Redmi Note 13 Pro手机小米红米2亿像素拍照智能正品新款红米备用note13pro,1069..02,未知,20万+人付款,,小米官方旗舰店
【政府补贴15% 春节正常发货】荣耀X60 5G智能满级抗摔续航王者全面屏超清AI影像拍照游戏国补X50,1145..00,未知,900+人付款,浙江 ,喵速达电器官方旗舰店
【国家补贴至高立省15%】vivo Y200 GT手机5G轻薄6000毫安时长续航80W闪充第三代骁龙7大内存,1595..00,未知,1万+人付款,广东 ,vivo手机官方旗舰店
【12期免息】HUAWEI Mate 70鸿蒙AI红枫原色影像超可靠玄武架构华为官方旗舰店鸿蒙智能新品,5995..00,未知,未知,广东 深圳,华为官方旗舰店
【政府补贴手机|直播间赠耳机】realme/真我Neo7学生智能AI电竞潮流游戏防水新款大电池正品官方旗舰店,2095..00,未知,1万+人付款,广东 ,realme官方旗舰店
【政府补贴15%】HONOR/荣耀Play 9T 智能手机长续航超抗摔高品质官方旗舰店官网正品play 8T商务学生老人机,845..00,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/1114511827/O1CN01doLAkk1PModtrIubi_!!4611686018427386323-0-item_pic.jpg_580x580q90.jpg_.webp,2万+人付款,广东 ,荣耀官方旗舰店
【下拉领政府补贴15%】REDMI K80红米k80官方旗舰店游戏拍照学生国补智能小米红米redmik80,2495..00,https://g-search1.alicdn.com/img/bao/uploaded/i4/i1/1714128138/O1CN01MVFM9O29zGDHZf5Nv-1714128138.png_580x580q90.jpg_.webp,10万+人付款,,小米官方旗舰店
【优惠180元】华为畅享70S 6.75英寸AOD护眼大屏畅享X键常用功能一步直达官方旗舰店鸿蒙直面屏学生,1015..00,https://picasso.alicdn.com/imgextra/O1CNA1kEveSl1VubYQuBB4s_!!2838892713-0-psf.jpg_580x580q90.jpg_.webp,3万+人付款,广东 ,华为官方旗舰店
【领政府补贴减15%】vivo iQOO Neo10官方旗舰店官网学生拍照游戏电竞智能iq neo10新款,2249..02,https://picasso.alicdn.com/imgextra/O1CNA149ele323opUzfOQC9_!!883737303-0-psf.jpg_580x580q90.jpg_.webp,未知,广东 东莞,iQOO手机官方旗舰店
【国补立省15%】vivo iQOO Z9 Turbo新款第三代骁龙8S大电池iQOO官方旗舰店官网正品国家补贴,1756..02,https://gw.alicdn.com/imgextra/O1CN01M2OWyn23opV20vSa0_!!883737303-0-picasso.jpg_580x580q90.jpg_.webp,1万+人付款,广东 ,iQOO手机官方旗舰店
【国家补贴至高立省15%】vivo Y300 Pro 新品大电池80W闪充全等深微四曲屏大内存学生官网正品,1395..00,https://gw.alicdn.com/imgextra/O1CN01BClWbe1K9vPtyyPFi_!!2207440821122-0-picasso.jpg_580x580q90.jpg_.webp,1万+人付款,广东 ,vivo手机官方旗舰店
【政府补贴15%】HONOR/荣耀X50 5G智能 全球首款瑞士SGS整机五星抗跌耐摔认证 5800mAh大电池 官方旗舰店,1225..00,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/1114511827/O1CN01YtFFEC1PModtP0PO3_!!4611686018427386323-2-item_pic.png_580x580q90.jpg_.webp,10万+人付款, ,荣耀官方旗舰店
【政府补贴15%】HONOR/荣耀200 5G手机 5200mAh青海湖电池5000万三主摄写真相机荣耀绿洲护眼屏官方旗舰店100,1895..00,https://g-search1.alicdn.com/img/bao/uploaded/i4/i4/1114511827/O1CN01rLihtn1PModu4V8sX_!!4611686018427386323-2-item_pic.png_580x580q90.jpg_.webp,5万+人付款,广东 ,荣耀官方旗舰店
OPPO K12x 拍照智能手机80W超级闪充新款电竞游戏oppo官方旗舰店政府补贴正品学生备用机老人机oppo k12x,995..00,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/901409638/O1CN01LVSXOZ2L4GJULFvHU-901409638.jpg_580x580q90.jpg_.webp,3万+人付款,广东 ,OPPO官方旗舰店
【心动白新色上市】OPPO Reno13 超美小直屏 潮流蝶蝶紫 AI高清实况照片 学生拍照智能AI oppo官方旗舰店,2595..00,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/901409638/O1CN01i9ivS42L4GJSiJQL1-901409638.jpg_580x580q90.jpg_.webp,3万+人付款,广东 ,OPPO官方旗舰店
【官网】OPPO Reno12 超美小直屏天玑 8250 星速版旗舰芯片正品学生智能拍照AI政府补贴oppo官方旗舰店,1995..00,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/901409638/O1CN01FBvND62L4GJUJhqsd-901409638.jpg_580x580q90.jpg_.webp,6万+人付款,广东 ,OPPO官方旗舰店
2025新款骁龙888智能手机游戏机学生党专用5G安卓备用机便宜百元,35..99,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/2216256870534/O1CN010fZ8ug1FocWhUg19y_!!2216256870534.jpg_580x580q90.jpg_.webp,300+人付款,广东 ,718数码
【国补立省15%】vivo iQOO Z9 Turbo长续航版新品骁龙学生大电池国补手机专区入口iQOO官方旗舰店,1808..02,http://img.alicdn.com/img/i3/31676741/O1CN017jN5li1zfQuVYlgH1_!!4611686018427386181-2-saturn_solar.png_580x580q90.jpg_.webp,未知,广东 东莞,iQOO手机官方旗舰店
【国补立省15%】vivo iQOO Z9新款骁龙大内存大电池5GiQOO官方旗舰店官网正品送礼国家补贴,1366..72,https://gw.alicdn.com/imgextra/O1CN019hsy8b23opUzVTU8T_!!883737303-0-picasso.jpg_580x580q90.jpg_.webp,3万+人付款,广东 ,iQOO手机官方旗舰店
【国补立省15%】vivo iQOO Z9 Turbo新款第三代骁龙8S大电池iQOO官方旗舰店官网正品国家补贴,1759..02,https://picasso.alicdn.com/imgextra/O1CNA17rUflx23opUzmRx1j_!!883737303-0-psf.jpg_580x580q90.jpg_.webp,10万+人付款, ,iQOO手机官方旗舰店
【政府补贴立省500元】vivo iQOO 13新品骁龙8至尊版长续航学生游戏iQOO国补手机官方旗舰店官网iq13,3938..82,https://img.alicdn.com/imgextra/i4/883737303/O1CN01GT26Hz23opUqTXC0F_!!883737303-0-alimamacc.jpg_580x580q90.jpg_.webp,3万+人付款,广东 ,iQOO手机官方旗舰店
【国补立省15%】vivo iQOO Z9x大电池长续航iQOO官方旗舰店官网正品送礼学生机老年机国家补贴,954..80,https://gw.alicdn.com/imgextra/O1CN01ylLn2r23opUzcb1U2_!!883737303-0-picasso.jpg_580x580q90.jpg_.webp,3万+人付款,广东 ,iQOO手机官方旗舰店
vivo Y200 GT国补手机5G轻薄6000毫安时长续航80W闪充第三代骁龙7大内存144Hz护眼屏,1595..00,https://gw.alicdn.com/imgextra/O1CN01DR0E161K9vPrR6g8q_!!2207440821122-0-yinheaigc.jpg_580x580q90.jpg_.webp,1万+人付款,广东 ,vivo手机官方旗舰店
【国家补贴至高立省15%】vivo Y200t手机5G轻薄6000毫安时44W闪充大内存120Hz金刚护眼屏48个月流畅,995..00,https://picasso.alicdn.com/imgextra/O1CNA1aXZqiP1K9vPqtKbEr_!!2207440821122-0-psf.jpg_580x580q90.jpg_.webp,6万+人付款,广东 ,vivo手机官方旗舰店
vivo S20国补手机智能5G柔光人像拍照轻薄长续航大电池学生直屏手机官方旗舰店,2095..00,https://img.alicdn.com/imgextra/i4/2207440821122/O1CN01HXfLhe1K9vPphnRLu_!!2207440821122-0-alimamacc.jpg_580x580q90.jpg_.webp,未知,广东 东莞,vivo手机官方旗舰店
【政府补贴15%】HONOR/荣耀X60 5G智能十面抗摔防水耐磨5800mAh大电池轻薄直屏一亿像素AI影像官方旗舰店,1145..00,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/1114511827/O1CN01ML1Wmb1PModsXm4JA_!!4611686018427386323-2-item_pic.png_580x580q90.jpg_.webp,5万+人付款,广东 ,荣耀官方旗舰店
新品上市OPPO一加Ace5新款学生游戏性能手机第三代骁龙8一加手机AI,2295..00,http://img.alicdn.com/img/i1/106298829/O1CN01fXkFXd2F5jtWCHmgX_!!4611686018427387341-0-saturn_solar.jpg_580x580q90.jpg_.webp,2万+人付款,广东 ,一加官方旗舰店
【政府补贴至高15%】Redmi Note 14 Pro手机红米note小米小米官方旗舰店官网新品小米note14pro,1269..02,https://g-search1.alicdn.com/img/bao/uploaded/i4/i1/1714128138/O1CN01N5Gadn29zGDJ2ae1h-1714128138.png_580x580q90.jpg_.webp,10万+人付款,,小米官方旗舰店
【华为大额券】HUAWEI Pura 70 超高速风驰闪拍第二代昆仑玻璃双超级快充华为官方旗舰店华为学生可优惠,4295..00,https://gw.alicdn.com/imgextra/O1CN017gy8Iv1VubYcUjJqx_!!2838892713-0-picasso.jpg_580x580q90.jpg_.webp,未知,广东 深圳,华为官方旗舰店
新品上市OPPO一加Ace5Pro学生游戏手机骁龙8至尊版旗舰芯片AI手机,3537..00,未知,1万+人付款,广东 ,一加官方旗舰店
【国补立省15%】vivo iQOO Z9x大电池长续航iQOO官方旗舰店官网正品送礼学生机老年机国家补贴,955..42,未知,3000+人付款,广东 ,iQOO手机官方旗舰店
【政府补贴15%】HONOR/荣耀X60i 5G智能手机直屏防水抗跌高品质高亮OLED护眼大屏官方旗舰店官网X50i学生,1145..00,未知,1万+人付款,广东 ,荣耀官方旗舰店
Apple/苹果 iPhone 16 Pro Max,9995..00,未知,未知,上海,Apple Store 官方旗舰店
【政府补贴15%】HONOR/荣耀300 5G手机超薄小直屏单反级双防抖主摄100W超级快充荣耀绿洲护眼屏官方旗舰店200,2195..00,未知,1万+人付款,广东 ,荣耀官方旗舰店
【国补立省15%】vivo iQOO Z9 Turbo新款第三代骁龙8S大电池iQOO官方旗舰店官网正品国家补贴,1756..02,未知,1万+人付款,广东 ,iQOO手机官方旗舰店
Apple/苹果 iPhone 16 Pro,7995..00,未知,未知,上海,Apple Store 官方旗舰店
【政府补贴至高15%】Redmi Note 14 5G手机红米note小米小米官方旗舰店官网新品小米note14,1022..02,未知,3万+人付款,北京,小米官方旗舰店
【政府补贴至高15%】Redmi 13C 5G手机智能官方旗舰店红米小米13c大音学生老年备用老人百元专用,935..01,未知,10万+人付款,北京,小米官方旗舰店
【新品上市 尝鲜价预定】Samsung/三星Galaxy S25+ AI智能游戏拍照5G手机超拟人AI助理 骁龙8至尊版官方正品,7499..00,未知,100+人付款,,三星官方旗舰店
OPPO K12 100W超级闪充新款电竞游戏AI学生备用老人智能政府补贴oppo官方旗舰店官网正品oppo k12,1695..00,未知,3万+人付款,广东 ,OPPO官方旗舰店
OPPO K12 Plus 游戏学生备用机骁龙5g新款手机超耐久大电池OPPO官方旗舰店官网正品政府补贴oppoAI智能,1395..00,未知,9000+人付款, ,OPPO官方旗舰店
【政府补贴至高15%】Redmi Note 13 Pro手机小米红米2亿像素拍照智能正品新款红米备用note13pro,1069..02,未知,20万+人付款,,小米官方旗舰店
【24期免息】Apple /苹果 iPhone 16 Pro Max 支持移动联通电信5G 双卡双待手机 全新国行正品 顺丰速发,9895..00,未知,82人付款,江苏 ,响誉数码旗舰店
【政府补贴15%】HONOR/荣耀X50 5G智能 全球首款瑞士SGS整机五星抗跌耐摔认证 5800mAh大电池 官方旗舰店,1225..00,未知,10万+人付款, ,荣耀官方旗舰店
【政府补贴15% 春节正常发货】荣耀X60 5G智能满级抗摔续航王者全面屏超清AI影像拍照游戏国补X50,1145..00,未知,900+人付款,浙江 ,喵速达电器官方旗舰店
【12期免息】HUAWEI Mate 70鸿蒙AI红枫原色影像超可靠玄武架构华为官方旗舰店鸿蒙智能新品,5995..00,未知,未知,广东 深圳,华为官方旗舰店
【官方直营旗舰店】2025新品5G全网通正品智能游戏大内存安卓便宜价512G学生4G大屏百元老年人拍照备用机,364..00,未知,100+人付款,浙江 ,好货严选工厂
新品上市OPPO A5 Pro 5G 满级防水2.0 耐严苛环境 信号穿墙王 正品学,1737..00,未知,4000+人付款, ,OPPO官方旗舰店
【政府补贴至高15%】Redmi Note 13 5G手机1亿像素红米note小米小米官方旗舰店官网新品note13,873..02,未知,10万+人付款,北京,小米官方旗舰店
OPPO K12x 拍照智能手机80W超级闪充新款电竞游戏oppo官方旗舰店政府补贴正品学生备用机老人机oppo k12x,995..00,未知,3万+人付款,广东 ,OPPO官方旗舰店
【立即抢购】Redmi Note 14 5G手机红米note小米小米官方旗舰店官网新品正品note14,1022..02,未知,2000+人付款,,小米官方旗舰店
顺丰正常发货Apple/苹果 iPhone 16 Pro Max 24期免息,9994..00,未知,1000+人付款, ,圳号旗舰店
【政府补贴手机|直播间赠耳机】realme/真我Neo7学生智能AI电竞潮流游戏防水新款大电池正品官方旗舰店,2095..00,未知,1万+人付款,广东 ,realme官方旗舰店
【政府补贴15%】HONOR/荣耀Play 9T 智能手机长续航超抗摔高品质官方旗舰店官网正品play 8T商务学生老人机,845..00,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/1114511827/O1CN01doLAkk1PModtrIubi_!!4611686018427386323-0-item_pic.jpg_580x580q90.jpg_.webp,2万+人付款,广东 ,荣耀官方旗舰店
【官网】OPPO A3i 5G 超硬核抗摔架构 45W超级闪充 正品学生智能拍照老人机备用政府补贴oppo官方旗舰店,895..00,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/901409638/O1CN011YphQl2L4GJSokkge-901409638.jpg_580x580q90.jpg_.webp,9000+人付款,广东 ,OPPO官方旗舰店
【国补立省15%】vivo iQOO Z9 Turbo+新品天玑9300+大电池iQOO官方旗舰店官网正品国家补贴入口,2053..02,https://gw.alicdn.com/imgextra/O1CN01CFu7BX23opV240rPR_!!883737303-0-picasso.jpg_580x580q90.jpg_.webp,4万+人付款,广东 ,iQOO手机官方旗舰店
同城闪送Apple/苹果 iPhone 16 Pro 6.3英寸国行5G手机,7321..00,http://img.alicdn.com/img/i1/465360011/O1CN01ec4DDw1Bx5LhaVqgJ_!!0-saturn_solar.jpg_580x580q90.jpg_.webp,100+人付款,上海,瑞松锦泰数码专营店
【领政府补贴减15%】vivo iQOO Neo10官方旗舰店官网学生拍照游戏电竞智能iq neo10新款,2249..02,https://picasso.alicdn.com/imgextra/O1CNA149ele323opUzfOQC9_!!883737303-0-psf.jpg_580x580q90.jpg_.webp,未知,广东 东莞,iQOO手机官方旗舰店
【国家补贴至高立省15%】vivo Y300 Pro 新品大电池80W闪充全等深微四曲屏大内存学生官网正品,1395..00,https://gw.alicdn.com/imgextra/O1CN01BClWbe1K9vPtyyPFi_!!2207440821122-0-picasso.jpg_580x580q90.jpg_.webp,1万+人付款,广东 ,vivo手机官方旗舰店
【国家补贴至高立省15%】vivo Y200+ 新款智能拍照大内存大电池轻薄长续航闪充官方旗舰店正品,1095..00,https://picasso.alicdn.com/imgextra/O1CNA19PQrk21K9vPsyl8Km_!!2207440821122-0-psf.jpg_580x580q90.jpg_.webp,2000+人付款, ,vivo手机官方旗舰店
Apple/苹果 iPhone 16,5995..00,https://g-search1.alicdn.com/img/bao/uploaded/i4/i4/1917047079/O1CN01PMAPal22AEmLXYfwN_!!4611686018427384103-2-item_pic.png_580x580q90.jpg_.webp,未知,上海,Apple Store 官方旗舰店
【政府补贴15%】HONOR/荣耀200 5G手机 5200mAh青海湖电池5000万三主摄写真相机荣耀绿洲护眼屏官方旗舰店100,1895..00,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/1114511827/O1CN01rLihtn1PModu4V8sX_!!4611686018427386323-2-item_pic.png_580x580q90.jpg_.webp,5万+人付款,广东 ,荣耀官方旗舰店
【官网】OPPO Reno12 超美小直屏天玑 8250 星速版旗舰芯片正品学生智能拍照AI政府补贴oppo官方旗舰店,1995..00,https://g-search1.alicdn.com/img/bao/uploaded/i4/i3/901409638/O1CN01FBvND62L4GJUJhqsd-901409638.jpg_580x580q90.jpg_.webp,6万+人付款,广东 ,OPPO官方旗舰店
【晒单赢好礼】华为畅享 70X 新品手机巨鲸长续航 双曲护眼屏 五星超耐摔 华为官方旗舰店鸿蒙曲面屏,1795..00,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/2838892713/O1CN01ZoH0TT1VubYVANSlw_!!4611686018427383977-0-item_pic.jpg_580x580q90.jpg_.webp,1万+人付款,广东 ,华为官方旗舰店
【心动白新色上市】OPPO Reno13 超美小直屏 潮流蝶蝶紫 AI高清实况照片 学生拍照智能AI oppo官方旗舰店,2537..00,https://g-search2.alicdn.com/img/bao/uploaded/i4/i3/901409638/O1CN01i9ivS42L4GJSiJQL1-901409638.jpg_580x580q90.jpg_.webp,3万+人付款,广东 ,OPPO官方旗舰店
国补立省15%vivo iQOO Z9 Turbo新款第三代骁龙8S大电池iQOO官方旗舰,1759..02,http://img.alicdn.com/img/i2/31676741/O1CN01OEtFAM1zfQuROzna8_!!4611686018427386181-2-saturn_solar.png_580x580q90.jpg_.webp,10万+人付款, ,iQOO手机官方旗舰店
【国补立省15%】vivo iQOO Z9新款骁龙大内存大电池5GiQOO官方旗舰店官网正品送礼国家补贴,1366..72,https://gw.alicdn.com/imgextra/O1CN019hsy8b23opUzVTU8T_!!883737303-0-picasso.jpg_580x580q90.jpg_.webp,3万+人付款,广东 ,iQOO手机官方旗舰店
【国补立省15%】vivo iQOO Z9 Turbo长续航版新品骁龙学生大电池国补专区入口iQOO官方旗舰店,1808..02,https://gw.alicdn.com/imgextra/O1CN018YDCLi23opUyvFXhI_!!883737303-0-picasso.jpg_580x580q90.jpg_.webp,未知,广东 东莞,iQOO手机官方旗舰店
vivo Y200t国补手机5G轻薄6000毫安时44W闪充大内存120Hz金刚护眼屏48个月流畅,995..00,http://img.alicdn.com/img/i3/881090092/O1CN01Y3irSN1CYBT6vfieG_!!4611686018427387436-2-saturn_solar.png_580x580q90.jpg_.webp,6万+人付款,广东 ,vivo手机官方旗舰店
【国补立省15%】vivo iQOO Z9x大电池长续航iQOO官方旗舰店官网正品送礼学生机老年机国家补贴,954..80,https://gw.alicdn.com/imgextra/O1CN01ylLn2r23opUzcb1U2_!!883737303-0-picasso.jpg_580x580q90.jpg_.webp,3万+人付款,广东 ,iQOO手机官方旗舰店
vivo Y300 Pro 新品大电池80W闪充全等深微四曲屏大内存学生手机官网正品国补手机,1395..00,https://gw.alicdn.com/imgextra/O1CN01vBsMvU1K9vPrR5KrE_!!2207440821122-0-yinheaigc.jpg_580x580q90.jpg_.webp,1万+人付款,广东 ,vivo手机官方旗舰店
【政府补贴15%】HONOR/荣耀X60 5G智能十面抗摔防水耐磨5800mAh大电池轻薄直屏一亿像素AI影像官方旗舰店,1145..00,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/1114511827/O1CN01ML1Wmb1PModsXm4JA_!!4611686018427386323-2-item_pic.png_580x580q90.jpg_.webp,5万+人付款,广东 ,荣耀官方旗舰店
新品上市OPPO一加Ace5新款学生游戏性能手机第三代骁龙8一加手机AI,2295..00,http://img.alicdn.com/img/i1/106298829/O1CN01fXkFXd2F5jtWCHmgX_!!4611686018427387341-0-saturn_solar.jpg_580x580q90.jpg_.webp,2万+人付款,广东 ,一加官方旗舰店
【政府补贴至高15%】Redmi Note 14 Pro手机红米note小米小米官方旗舰店官网新品小米note14pro,1269..02,https://g-search1.alicdn.com/img/bao/uploaded/i4/i1/1714128138/O1CN01N5Gadn29zGDJ2ae1h-1714128138.png_580x580q90.jpg_.webp,10万+人付款,,小米官方旗舰店
华为5G智能手机!16G+512GB大内存!30天免费试用!,294..00,http://img.alicdn.com/img/i1/2217017272828/O1CN014XWwFL1WlH21AIqNN_!!2217017272828-0-alimamacc.jpg_580x580q90.jpg_.webp,1万+人付款,广东 ,三驰数码专营店
【华为大额券】HUAWEI Pura 70 超高速风驰闪拍第二代昆仑玻璃双超级快充华为官方旗舰店华为学生可优惠,4295..00,https://gw.alicdn.com/imgextra/O1CN017gy8Iv1VubYcUjJqx_!!2838892713-0-picasso.jpg_580x580q90.jpg_.webp,未知,广东 深圳,华为官方旗舰店
【国补立省15%】vivo iQOO Z9x大电池长续航iQOO官方旗舰店官网正品送礼学生机老年机国家补贴,955..42,https://picasso.alicdn.com/imgextra/O1CNA1VxV4NQ23opUzVE5v4_!!883737303-0-psf.jpg_580x580q90.jpg_.webp,3000+人付款,广东 ,iQOO手机官方旗舰店
同城闪送Apple/苹果 iPhone 16 Pro 6.3英寸国行5G手机,7321..00,未知,100+人付款,上海,瑞松锦泰数码专营店
【政府补贴15%】HONOR/荣耀X60i 5G智能手机直屏防水抗跌高品质高亮OLED护眼大屏官方旗舰店官网X50i学生,1145..00,未知,1万+人付款,广东 ,荣耀官方旗舰店
Apple/苹果 iPhone 16 Pro Max,9995..00,未知,未知,上海,Apple Store 官方旗舰店
【国家补贴至高立省15%】vivo S20智能5G柔光人像拍照轻薄长续航大电池学生直屏官方旗舰店正品,2095..00,未知,未知,广东 东莞,vivo手机官方旗舰店
12期免息 vivo Y300 新品手机 超级扬声器长续航大内存抗摔护眼直屏学,1295..00,未知,72人付款,广东 ,能良数码官方旗舰店
【国补立省15%】vivo iQOO Z9 Turbo新款第三代骁龙8S大电池iQOO官方旗舰店官网正品国家补贴,1756..02,未知,1万+人付款,广东 ,iQOO手机官方旗舰店
Apple/苹果 iPhone 16 Pro,7995..00,未知,未知,上海,Apple Store 官方旗舰店
